date,purchase_price,sale_price
1999-08-12,,32.47
1999-08-13,,32.35
1999-08-16,,32.17
1999-08-17,,32.2
1999-08-18,,32.19
1999-08-19,,32.32
1999-08-20,,32.32
1999-08-23,,32.51
1999-08-24,,32.58
1999-08-25,,32.6
1999-08-26,,32.7
1999-08-27,,32.83
1999-08-30,,33
1999-08-31,,32.97
1999-09-01,,32.99
1999-09-02,,33.25
1999-09-03,,33.25
1999-09-06,,33.38
1999-09-08,,33.45
1999-09-09,,33.6
1999-09-10,,33.66
1999-09-13,,33.8
1999-09-14,,33.91
1999-09-15,,34.15
1999-09-16,,34.42
1999-09-17,,34.54
1999-09-20,,34.93
1999-09-21,,35.38
1999-09-22,,35.62
1999-09-23,,36.47
1999-09-24,,37.29
1999-09-27,,38.6
1999-09-28,,39.09
1999-09-29,,39.27
1999-09-30,,39.17
1999-10-01,,38.99
1999-10-04,,38.79
1999-10-05,,38.85
1999-10-06,,38.78
1999-10-07,,38.91
1999-10-08,,38.88
1999-10-11,,38.94
1999-10-13,,38.94
1999-10-14,,39.22
1999-10-15,,39.28
1999-10-18,,39.76
1999-10-19,,39.84
1999-10-20,,39.85
1999-10-21,,39.89
1999-10-22,,40.19
1999-10-25,,40.39
1999-10-26,,40.62
1999-10-27,,40.85
1999-10-28,,40.93
1999-10-29,,41.18
1999-11-01,,41.29
1999-11-03,,41.8
1999-11-04,,42.17
1999-11-05,,42.52
1999-11-08,,42.77
1999-11-09,,42.72
1999-11-10,,42.96
1999-11-11,,42.97
1999-11-12,,42.84
1999-11-16,,42.84
1999-11-17,,42.06
1999-11-18,,41.81
1999-11-19,,41.67
1999-11-22,,41.69
1999-11-23,,40.86
1999-11-24,,40.63
1999-11-25,,40.49
1999-11-26,,40.27
1999-11-29,,40.26
1999-11-30,,40.31
1999-12-01,,40.43
1999-12-02,,40.68
1999-12-03,,41.25
1999-12-06,,41.37
1999-12-07,,41.33
1999-12-08,,41.37
1999-12-09,,41.21
1999-12-10,,41.02
1999-12-13,,40.25
1999-12-14,,40.23
1999-12-15,,40.36
1999-12-16,,40.33
1999-12-17,,40.42
1999-12-20,,40.4
1999-12-21,,40.46
1999-12-22,,40.51
1999-12-23,,40.63
1999-12-27,,40.68
1999-12-28,,40.69
1999-12-29,,40.57
1999-12-30,,40.71
2000-01-03,,40.66
2000-01-04,,40.65
2000-01-05,,40.76
2000-01-06,,40.78
2000-01-07,,40.89
2000-01-10,,41.02
2000-01-11,,41.23
2000-01-12,,41.28
2000-01-13,,41.28
2000-01-14,,41.34
2000-01-17,,41.5
2000-01-18,,41.45
2000-01-19,,41.49
2000-01-20,,41.53
2000-01-21,,41.57
2000-01-24,,41.6
2000-01-25,,41.33
2000-01-26,,41.25
2000-01-27,,41.15
2000-01-28,,40.9
2000-01-31,,40.73
2000-02-01,,40.68
2000-02-02,,40.53
2000-02-03,,40.4
2000-02-04,,40.33
2000-02-07,,40.3
2000-02-08,,40.14
2000-02-09,,40.04
2000-02-10,,40.2
2000-02-11,,40.12
2000-02-14,,40.17
2000-02-15,,40
2000-02-16,,39.73
2000-02-17,,39.77
2000-02-18,,39.57
2000-02-21,48.63653846,39.34
2000-02-22,40.6212766,38.53
2000-02-23,40.97819682,38.16
2000-02-24,41.42116351,37.92
2000-02-25,40.95315024,37.85
2000-02-28,41.13418878,37.15
2000-02-29,40.16984795,36.96
2000-03-01,41.46003354,36.46
2000-03-02,41.84695969,36.49
2000-03-03,41.53055397,36.46
2000-03-08,42.61918605,36.75
2000-03-09,41.29361942,37.02
2000-03-10,38.93283346,37.08
2000-03-13,39.79380348,37.02
2000-03-14,39.79380348,37.31
2000-03-15,39.81257654,37.56
2000-03-16,39.86776594,37.9
2000-03-17,41.32773109,37.85
2000-03-20,41.672058,38.23
2000-03-21,43.33930429,38.48
2000-03-22,43.45964709,38.76
2000-03-23,43.65704287,38.87
2000-03-24,42.87758621,39.09
2000-03-27,42.67043847,39.02
2000-03-28,42.22459532,39.06
2000-03-29,41.7006313,39.01
2000-03-30,41.76357123,38.85
2000-03-31,41.69988533,38.82
2000-04-03,42.84207001,38.56
2000-04-04,42.27197802,38.21
2000-04-05,43.66307054,38.09
2000-04-06,42.73571,38.18
2000-04-07,41.99122949,38.3
2000-04-10,42.8557377,38.12
2000-04-11,42.93680297,37.9
2000-04-12,43.60816145,37.76
2000-04-13,43.71303272,37.49
2000-04-14,44.22719233,37.28
2000-04-17,44.84008529,37.18
2000-04-18,46.12688398,37.43
2000-04-19,46.85697329,37.57
2000-04-20,45.61197992,37.56
2000-04-24,45.17777778,37.83
2000-04-25,43.58060942,37.77
2000-04-26,43.21179507,37.66
2000-04-27,45.09779883,37.52
2000-04-28,45.22729787,37.47
2000-05-02,45.83708146,37.47
2000-05-03,46.03611065,37.22
2000-05-04,46.21377619,37.12
2000-05-05,44.23568438,37.19
2000-05-08,44.49789404,37.15
2000-05-09,44.67058824,36.92
2000-05-10,44.47072639,36.74
2000-05-11,44.58850313,36.5
2000-05-12,42.88869863,36.43
2000-05-15,43.15489553,36.08
2000-05-16,43.21861777,35.99
2000-05-17,42.31430155,35.88
2000-05-18,41.72682392,35.85
2000-05-19,41.17647059,35.64
2000-05-22,42.68564022,35.46
2000-05-23,43.17296678,35.31
2000-05-24,42.71569004,35.43
2000-05-25,42.89767699,35.54
2000-05-26,42.71635818,36.12
2000-05-29,43.26113586,36.17
2000-05-30,44.05883353,36.44
2000-05-31,43.72423556,36.73
2000-06-01,44.30172414,36.93
2000-06-02,44.45172414,37.18
2000-06-05,44.93828571,37.61
2000-06-06,44.11754771,38
2000-06-07,42.61104543,38.23
2000-06-08,42.07227712,38.49
2000-06-09,41.73646409,38.52
2000-06-12,42.28557097,38.8
2000-06-13,43.09719101,38.87
2000-06-14,43.85657143,38.91
2000-06-15,45.28285714,38.96
2000-06-16,46.12925764,38.93
2000-06-19,47.29032258,38.92
2000-06-20,46.86658796,38.93
2000-06-21,47.89025487,39.1
2000-06-23,46.97921615,39.22
2000-06-26,47.1887574,39.48
2000-06-27,46.39363242,39.67
2000-06-28,48.70415648,39.81
2000-06-29,47.92711958,39.94
2000-06-30,47.9692364,40.05
2000-07-03,49.42388614,40.23
2000-07-04,47.85426562,40.32
2000-07-05,48.12605042,40.14
2000-07-06,46.27203307,40.09
2000-07-07,44.99411204,40.17
2000-07-10,44.6027933,40.15
2000-07-11,44.92043787,40.12
2000-07-12,45.02972315,39.95
2000-07-13,44.54056502,39.81
2000-07-14,42.28203308,39.77
2000-07-17,42.6851697,39.41
2000-07-18,42.83677235,39.39
2000-07-19,42.82094595,39.39
2000-07-20,43.68233945,39.55
2000-07-21,45.20938416,39.85
2000-07-24,47.52256098,40.05
2000-07-25,46.65453678,40.54
2000-07-26,46.74401957,40.83
2000-07-27,45.71826087,41.19
2000-07-28,45.4003221,41.52
2000-07-31,44.06553534,41.81
2000-08-01,42.73044046,41.8
2000-08-02,42.23450135,41.53
2000-08-03,42.48806941,41.51
2000-08-04,43.1307947,41.52
2000-08-07,43.17679558,41.46
2000-08-08,43.6486637,41.49
2000-08-09,43.75333333,41.5
2000-08-10,44.59246862,41.64
2000-08-11,43.88901099,41.66
2000-08-14,44.28571429,41.64
2000-08-15,44.6067791,41.66
2000-08-16,44.81123596,41.69
2000-08-17,44.86348315,41.7
2000-08-18,,41.79
2000-08-21,45.89932225,41.64
2000-08-22,46.35333759,41.52
2000-08-23,46.43609551,41.57
2000-08-24,46.98339809,41.54
2000-08-25,47.52503748,41.62
2000-08-28,47.95862069,41.68
2000-08-29,47.49850746,41.7
2000-08-30,47.67633347,41.39
2000-08-31,47.80205811,41.2
2000-09-01,48.26222494,41.24
2000-09-04,47.4205052,41.01
2000-09-05,48.14096386,40.98
2000-09-06,48.23855422,40.86
2000-09-08,49.20544629,40.67
2000-09-11,47.32879478,40.52
2000-09-12,46.53902715,40.34
2000-09-13,44.46153846,40.21
2000-09-14,44.71490281,40.24
2000-09-15,44.71490281,40.31
2000-09-18,44.13822894,40.29
2000-09-19,43.99837662,40.49
2000-09-20,43.44672417,40.69
2000-09-21,42.96631579,40.95
2000-09-22,43.73887399,41.41
2000-09-25,45.19226519,41.67
2000-09-26,45.51012483,41.82
2000-09-27,46.29345372,41.95
2000-09-28,46.21218962,41.95
2000-09-29,46.19187359,42.12
2000-10-02,47.30475087,42.14
2000-10-03,47.15844156,42.31
2000-10-04,46.24589235,42.39
2000-10-05,47.04971098,42.17
2000-10-06,47.58978873,42.2
2000-10-09,47.02275491,42.25
2000-10-10,45.5506361,42.21
2000-10-11,45.45648153,42.3
2000-10-13,45.92298531,42.4
2000-10-16,44.40326087,42.55
2000-10-17,43.62260506,42.59
2000-10-18,45.52653469,42.58
2000-10-19,45.06574202,42.63
2000-10-20,44.99916782,42.73
2000-10-23,44.99916782,42.99
2000-10-24,45.68686869,42.9
2000-10-25,45.98135593,42.81
2000-10-26,45.3907173,42.58
2000-10-27,46.00847458,42.34
2000-10-30,46.99593968,42.32
2000-10-31,46.8065471,42.35
2000-11-01,46.36995425,42.2
2000-11-03,47.27288889,42.17
2000-11-06,47.13780919,42.09
2000-11-07,46.71453488,41.89
2000-11-08,45.3577731,41.75
2000-11-09,45.50122389,41.62
2000-11-10,45.61893831,41.43
2000-11-13,45.61893831,41.21
2000-11-14,46.00058309,41.18
2000-11-16,46.92073716,41.14
2000-11-17,46.88133784,41.15
2000-11-20,47.19331629,41.17
2000-11-21,47.31338845,41.36
2000-11-22,46.72620433,41.41
2000-11-23,46.74729136,41.56
2000-11-24,45.93091437,41.7
2000-11-27,46.38230088,41.58
2000-11-28,46.00350877,41.71
2000-11-29,45.71020408,41.7
2000-11-30,46.35537337,41.7
2000-12-01,46.21337296,41.69
2000-12-04,47.29458918,41.31
2000-12-05,46.45402265,41.15
2000-12-06,47.69263804,40.81
2000-12-07,46.90013828,40.71
2000-12-08,46.06058824,40.75
2000-12-11,46.71725855,40.11
2000-12-12,48.1260274,40.1
2000-12-13,48.73661538,40.01
2000-12-14,48.93969231,39.81
2000-12-15,49.55849057,39.78
2000-12-18,50.24190476,39.94
2000-12-19,50.25769231,40.24
2000-12-20,49.58647809,40.41
2000-12-21,49.56230032,40.62
2000-12-22,49.28014207,40.8
2000-12-26,48.425625,40.84
2000-12-27,49.250625,40.92
2000-12-28,48.84375,40.87
2001-01-02,,40.33
2001-01-03,,40.35
2001-01-04,44.62666667,40.09
2001-01-05,44.62666667,40.11
2001-01-08,44.44,40.04
2001-01-09,44.465,40.02
2001-01-10,44.31666667,39.97
2001-01-11,44.31666667,39.97
2001-01-12,44.32960894,40.02
2001-01-15,44.42811822,40.03
2001-01-16,44.48344371,39.98
2001-01-17,44.66059603,40.04
2001-01-18,45.35430464,40.12
2001-01-19,45.31491713,40.19
2001-01-22,45.4845645,40.1
2001-01-23,45.32496024,40.17
2001-01-24,48.38947368,40.21
